sighting_id,park_code,gbif_id,scientific_name,common_name,taxon_rank,event_date,decimal_latitude,decimal_longitude,basis_of_record,dataset_key,recorded_by,source
GBIF-6185047331,GLAC,6185047331,"Lophodytes cucullatus (Linnaeus, 1758)",,SPECIES,2026-03-25T15:38:45,48.200428,-114.30375,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,chipbeandip,GBIF Occurrence API
GBIF-6185236272,GLAC,6185236272,"Larus delawarensis Ord, 1815",,SPECIES,2026-03-25T15:56:48,48.20112,-114.301247,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,chipbeandip,GBIF Occurrence API
GBIF-6185317202,GLAC,6185317202,"Perisoreus canadensis (Linnaeus, 1766)",,SPECIES,2026-03-18T15:47,48.462842,-114.35575,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Jimmy Feeney,GBIF Occurrence API
GBIF-6185319277,GLAC,6185319277,Picea pungens Engelm.,,SPECIES,2026-03-19T15:49:25,48.41357,-114.334953,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Gertrude Ferguson,GBIF Occurrence API
GBIF-6185324070,GLAC,6185324070,"Haemorhous mexicanus (P.L.Statius Müller, 1776)",,SPECIES,2026-03-09T19:34:37,48.21864,-114.33114,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,cacklingseahag,GBIF Occurrence API
GBIF-6185421231,GLAC,6185421231,"Corvus brachyrhynchos C.L.Brehm, 1822",,SPECIES,2026-03-16T16:07:08,48.229065,-114.328557,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Branson Zempel,GBIF Occurrence API
GBIF-6185464635,GLAC,6185464635,"Spinus pinus (A.Wilson, 1810)",,SPECIES,2026-03-22T11:50:05,48.343184,-114.012951,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Melanie Lamere,GBIF Occurrence API
GBIF-6185655583,GLAC,6185655583,"Larus smithsonianus Coues, 1862",,SPECIES,2026-03-25T16:20:50,48.201072,-114.303458,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,chipbeandip,GBIF Occurrence API
GBIF-6185979218,GLAC,6185979218,"Corvus corax Linnaeus, 1758",,SPECIES,2026-03-27T07:59:50,48.414978,-114.350563,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,hillary 🧡🤍💖,GBIF Occurrence API
GBIF-6186004777,GLAC,6186004777,"Branta canadensis (Linnaeus, 1758)",,SPECIES,2026-03-04T13:49,48.765372,-114.281647,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,John Ryan,GBIF Occurrence API
GBIF-6186049555,GLAC,6186049555,Berberis repens Lindl.,,SPECIES,2026-03-02T15:36:28,48.63797,-113.854477,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,John Ryan,GBIF Occurrence API
GBIF-6186149044,GLAC,6186149044,"Haliaeetus leucocephalus (Linnaeus, 1766)",,SPECIES,2026-03-06T10:33:46,48.241619,-114.344264,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,drbasil,GBIF Occurrence API
GBIF-6188233499,GLAC,6188233499,"Dryocopus pileatus (Linnaeus, 1758)",,SPECIES,2026-03-26T15:02:19,48.215927,-114.319644,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,collectorgoblin,GBIF Occurrence API
GBIF-6188282222,GLAC,6188282222,Galanthus elwesii Hook.f.,,SPECIES,2026-03-28T15:25:19,48.382589,-114.17168,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,taysus,GBIF Occurrence API
GBIF-6188394232,GLAC,6188394232,Cumminsiella mirabilissima (Peck) Nannf.,,SPECIES,2026-03-21T16:02,48.388169,-114.1865,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Caiden Calderwood,GBIF Occurrence API
GBIF-6188497914,GLAC,6188497914,"Tamiasciurus hudsonicus (Erxleben, 1777)",,SPECIES,2026-03-03T13:31:57,48.225173,-114.322147,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Dolan Cotter,GBIF Occurrence API
GBIF-6188597562,GLAC,6188597562,"Odocoileus virginianus (Zimmermann, 1780)",,SPECIES,2026-03-31T19:35:12,48.439758,-114.349633,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,natureenjoyer42,GBIF Occurrence API
