sighting_id,park_id,park_name,state,species_id,common_name,scientific_name,category,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,temperature_max,temperature_min,temperature_avg,precipitation,snowfall,wind_speed,recreation_visits,crowd_level,basis_of_record,location_filter_method,data_quality_flag,source,weather_joined,visitation_joined,search_result_count,official_source_count,area_context_count,season_context_count,time_context_count,avg_serp_confidence_score,top_mentioned_area,top_mentioned_season,top_mentioned_time_of_day,has_official_context,has_recent_context
GBIF-5206770910_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-13,2025.0,5.0,spring,morning,44.883186,-110.365322,27253.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5292121210_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-17,2025.0,5.0,spring,afternoon,44.734777,-110.517437,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5292386051_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-16,2025.0,5.0,spring,evening,44.960078,-110.761412,27253.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5292386067_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-17,2025.0,5.0,spring,early_morning,44.903413,-110.344609,27253.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5292737688_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-16,2025.0,5.0,spring,evening,44.459013,-110.881919,27317.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5292854901_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2025-05-17,2025.0,5.0,spring,morning,44.931104,-110.001882,27253.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5292892251_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-17,2025.0,5.0,spring,morning,44.847015,-110.178097,27253.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5909370310_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-15,2025.0,5.0,spring,night,45.040424,-110.683604,83476.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6159378873_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-18,2025.0,5.0,spring,morning,44.473824,-110.436517,71330.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6163102766_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-21,2025.0,5.0,spring,evening,44.735694,-110.74513,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5188053270_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-02,2025.0,6.0,summer,evening,44.699859,-110.525663,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5198412362_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-03,2025.0,6.0,summer,morning,44.972247,-110.360461,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5199009291_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-03,2025.0,6.0,summer,evening,44.557738,-110.232711,27317.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5206716556_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-15,2025.0,6.0,summer,early_morning,44.629741,-110.486737,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
