sighting_id,occurrence_id,park_id,species_id,scientific_name,common_name,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,basis_of_record,location_filter_method,source,license,data_quality_flag
GBIF-5292892251_park_yell,GBIF-5292892251,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-17,2025.0,5.0,spring,morning,44.847015,-110.178097,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5909370310_park_yell,GBIF-5909370310,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-15,2025.0,5.0,spring,night,45.040424,-110.683604,83476.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6159378873_park_yell,GBIF-6159378873,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-18,2025.0,5.0,spring,morning,44.473824,-110.436517,71330.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6163102766_park_yell,GBIF-6163102766,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-21,2025.0,5.0,spring,evening,44.735694,-110.74513,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5188053270_park_yell,GBIF-5188053270,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-02,2025.0,6.0,summer,evening,44.699859,-110.525663,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5198412362_park_yell,GBIF-5198412362,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-03,2025.0,6.0,summer,morning,44.972247,-110.360461,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5199009291_park_yell,GBIF-5199009291,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-03,2025.0,6.0,summer,evening,44.557738,-110.232711,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5206716556_park_yell,GBIF-5206716556,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-15,2025.0,6.0,summer,early_morning,44.629741,-110.486737,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5215681819_park_yell,GBIF-5215681819,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-10,2025.0,6.0,summer,morning,44.961691,-110.200871,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5215842116_park_yell,GBIF-5215842116,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-21,2025.0,6.0,summer,early_morning,44.52062,-110.298261,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5215868437_park_yell,GBIF-5215868437,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-22,2025.0,6.0,summer,morning,44.680608,-110.578648,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5216062144_park_yell,GBIF-5216062144,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-23,2025.0,6.0,summer,afternoon,44.743168,-110.648353,30859.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5216297737_park_yell,GBIF-5216297737,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-22,2025.0,6.0,summer,morning,44.416595,-110.478808,71330.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5216515136_park_yell,GBIF-5216515136,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-23,2025.0,6.0,summer,afternoon,44.715208,-110.760765,39988.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
